名稱,城市,類型,分齡,lat,lon,介紹,圖片網址,Unnamed: 8,時間戳記,城市(台北市、新北市...).1,詳細地址 ,類型(博物館、公園...).1,景點介紹.1,城市.1,類型.1,介紹.1
草鞋墩人文觀光夜市,南投縣,1,全齡,23.98783,120.68742,尚無介紹,,,,,,,,,,
橫路古道-半天橋,南投縣,9,全齡,23.71613,120.74451,尚無介紹,,,,,,,,,,
七星陣地公園(碉堡),南投縣,12,全齡,23.8285,120.63926,尚無介紹,,,,,,,,,,
九份二山地震紀念園區,南投縣,11,全齡,23.95061,120.84398,尚無介紹,,,,,,,,,,
竹山文化園區,南投縣,1,全齡,23.68889,120.72888,"竹山文化園區是台灣最大的竹工藝展館。在這裡你能看見竹子與竹山當地文化產業整體的連結。園區內的五大場域,各有其特色。讓我們開始認識竹在竹山成長的歷程與轉變吧 !園區入口有支竹 壺,涓涓流水訴 說著小鎮純...",,,,,,,,,,
雞朝文創故事館,南投縣,1,全齡,23.97338,120.96993,走過貧困歲月，特別感恩生命中每一階段的貴人 2010年，買下幼時租住的雞條ㄚ舊址，取其諧音命名為「雞朝」 藉此砥礪後代子孫做人務實、誠懇、不忘本； 而「朝」字涵意深遠，既指新世代也象徵著光明破曉、日新...,,,,,,,,,,
椰子防空壕,南投縣,3,全齡,23.75755,120.68203,尚無介紹,,,,,,,,,,
打鐵巷,南投縣,1,全齡,23.7564,120.68446,尚無介紹,,,,,,,,,,
「借問站」全家便利商店-名間金交流店,南投縣,14,全齡,23.84716,120.69733,尚無介紹,,,,,,,,,,
中寮鄉龍鳳瀑布空中步道,南投縣,11,全齡,23.94179,120.81661,尚無介紹,,,,,,,,,,
米田貢觀光烘焙園區 / 埔里花卉有限公司,南投縣,12,全齡,23.98576,120.95955,一群傻子的「米」夢你問我為何要叫米田貢？請你吃米田貢，光聽到就一輩子不會忘了吧！【埔里旅遊新亮點】「米田貢」園區是由農糧署委託「埔里花卉有限公司」經營，距離6號國道埔里第2出口僅2公里多的埔里花卉服務...,,,,,,,,,,
南投自然史教育館,南投縣,1,全齡,24.02099,121.13417,尚無介紹,,,,,,,,,,
香里活力豬品牌文化館,南投縣,14,全齡,23.92436,120.67508,香里活力豬品牌文化館位於南投市南崗工業區，是以生產香腸、四神湯、豬肉條等相關豬肉產品為主的觀光工廠，也是全台唯一開放參觀的豬肉觀光工廠。遊客在進入二樓展覽館前需先換鞋以保持館內清潔，文化館除介紹養豬歷...,,,,,,,,,,
光遠燈籠,南投縣,1,全齡,23.76758,120.70247,開創生活美學，結合現代古典在時代的變遷下，光遠燈籠不僅展現製作燈籠的手(工)藝，更開發出適合點綴於商業空間或居家的燈籠燈飾。 利用花布與各種造型的結合，注入多方元素讓傳統燈籠跳脫以往古老寺廟的氛圍，讓...,,,,,,,,,,
果寶歡酵觀光工廠 GuoBAO,南投縣,1,全齡,23.94172,120.95407,創建於2016年的果寶歡酵觀光工廠，選擇埔里這片好山好地，以分享天然有機酵素為基礎，希望藉由觀光農場的開放，酵素等健康知識的展示，好物選購、餐飲休憩角落的提供，給民眾一個身心靈舒展放鬆的好去處。陽光下...,,,,,,,,,,
南投國際沙雕藝術文化園區,南投縣,1,全齡,23.92644,120.68134,有免費專用停車場，提供廁所，需買票入場，沙雕作品數十個，可從細節見識藝術家對藝術呈現的執著。地圖網址：http://goo.gl/izXTY8...,,,,,,,,,,
松柏嶺受天宮,南投縣,4,全齡,23.8319,120.63123,本宮建在南投縣名間鄉松山村松山街118號，位在八卦山脈南端海拔約500公尺與彰化縣二水鄉交界處，居高臨二水丘陵上。...,,,,,,,,,,
合歡山國家森林遊樂區,南投縣,1,全齡,24.13352,121.2716,每年冬季寒流與濕氣帶來的降雪，總將合歡群山染成一片銀色世界，粉妝玉琢的景色絕美，為台灣公路最高點。...,,,,,,,,,,
紙教堂  新故鄉見學園區,南投縣,2,全齡,23.94139,120.92705,尚無介紹,,,,,,,,,,
中台世界博物館,南投縣,5,全齡,24.01077,120.94504,位於中台灣埔里的中台世界博物館。座落於台灣地理中心合歡山下的蓮花盆地，週邊群山環繞，朝暉夕霞，宛如世外化境。兼之比鄰國際性景點中台禪寺，禪風鼎盛，更顯其深厚人文與心靈靜謐內涵。    博物館外觀以中式...,,,,,,,,,,
雲林布袋戲館,雲林縣,1,全齡,23.70928,120.4334,戲裡乾坤，彈指話說千古事前身質樸雅致的虎尾郡役所，於2001年正式公告為古蹟，並化身在地文化氣息濃厚的布袋戲館。館內詳盡介紹布袋戲各派別、角色、文化故事和歷史沿革，來自各國的經典戲偶角色；蘊藏著古早記...,,,,,,,,,,
北港朝天宮,雲林縣,4,全齡,23.56809,120.3048,台灣媽祖總本山北港朝天宮主祀媽祖，俗呼北有關渡媽，南有北港媽。廟為國定古蹟，每年農曆三月十九、二十日，國家重要民俗-「北港迓媽祖」熱鬧，成就了北港眾多的工藝匠師以及百年藝陣。...,,,,,,,,,,
成龍濕地,雲林縣,11,全齡,23.55491,120.1642,黑面琵鷺天堂和絕美夕照成龍溼地原為可耕地，因為受到地層下陷、海水倒灌影響而不得不廢耕。但也因生態演化豐富，常吸引黑面琵鷺等等的罕見鳥類進駐。經過藝術家的設計裝置藝術「水核心」後，此地的絕美夕照已成為口...,,,,,,,,,,
偶的家-戲偶文創園區,雲林縣,1,全齡,23.66725,120.4723,傳統國粹，細緻展現。以長年雕刻偶頭出身的徐炎卿師父，其家族後人開創的戲偶文創園區收藏了著名的布袋戲角色，經典角色譬如：史艷文、素還真、黑白郎君等等，留待大家近距離見識偶的美、偶的細節。...,,,,,,,,,,
太平老街,雲林縣,12,全齡,23.70853,120.5418,古色古香的台灣味老街斗六太平老街上的舊式洋樓房建築多採巴洛克式建築，街巷間有蛋飯、圓仔冰、肉圓、魷魚嘴焿等傳統台灣味美食，常有外國觀光客特意造訪，更充滿樂齡長輩偏愛的古早味情調。...,,,,,,,,,,
行啟記念館,雲林縣,18,全齡,23.70611,120.5419,紅磚黑瓦，雅緻集會中心紀念日本皇太子裕仁訪台，是成為斗六市民重要的集會事務空間。以日式紅磚黑瓦建構，每周日前廣場舉辦在地小農市集，記念館明亮高大，其他附屬建築小巧雅緻，是斗六旅遊必經之地。...,,,,,,,,,,
源順芝麻觀光油廠,雲林縣,14,全齡,23.67411,120.3947,廚房至寶：安心用油~冷壓芝麻油。探訪以「製造有益人體健康之產品」為目標的土庫鎮「源順芝麻觀光油廠」是通過經濟部評鑑觀光工廠，可以學習如何選購好油，用好油及吃好油。最佳伴手禮是已催芽黑芝麻粉及芝麻油。必...,,,,,,,,,,
虎尾厝沙龍,雲林縣,1,全齡,23.70962,120.4359,老厝變沙龍 虎尾藝文新據點   前立委王麗萍費了二年功夫整理，將隱身於虎尾市區一棟七十多年「興亞式」老厝重新整理，營造成推動生態、性別、另類全球化的據點，不僅為雲林留下一棟歷史建築，更增加一處推廣藝術...,,,,,,,,,,
魔羯魚祈福館,雲林縣,5,全齡,23.70642,120.5403,為佛教文化藝術的展覽館，以祈福為主題的文化創意商店  館藏一百多件精美的佛像、唐卡、文物，讓您有如遠赴西藏佛境  走進魔羯魚祈福館，日子彷彿變得緩慢又舒適  簡單的一杯茶或咖啡，享受禪意的生活步調  ...,,,,,,,,,,
雅聞峇里海岸觀光工廠,雲林縣,12,全齡,23.73005,120.5696,無須出境，也有南洋風景。雲林斗六獨樹一格的觀光區域，是通過經濟部評鑑觀光工廠，甚至曾邀請蕭敬騰代言在地特色。雅聞峇里海岸觀光工廠擁有傲人的寬闊空間，偌大園區足足有十餘種不同主題的廠區，不需要出國，也能...,,,,,,,,,,
佛美神仙故事館,雲林縣,5,全齡,23.77683,120.4483,佛美神仙故事館位於雲林縣西螺鎮的一個文創觀光園區，由佛美佛藝社創立於2015年，董事長在地深耕數十年，為保留台灣拜拜文化，弘揚神仙的由來和故事，以及拜神的意義，實踐宗教勸善的精神，並在生活中極力推廣現...,,,,,,,,,,
澄霖味道森林館,雲林縣,12,全齡,23.72894,120.4921,佔地約5.8公頃，為國內最大的沉香然景觀休閒農場。園區整體以日式禪風的簡約典雅為主軸，擁有一大片景觀生態池，庭園中種植多達80多種樹種可供觀賞。主場館內除了有國際級導覽及藝品介紹區之外，還能欣賞到澄霖...,,,,,,,,,,
台灣鯛生態創意園區,雲林縣,12,全齡,23.60801,120.1725,水下產業鏈，目不暇給。以台灣鯛為核心的生態創意園區，重點主題除了介紹台灣鯛的演進與生態外，也展示從傳統到科技智能養殖的過程，台灣鯛魚片的加工，以及全魚應用。結合在地產業及觀光美食，讓遊客有豐富多元完整...,,,,,,,,,,
良作工場農業文創館,雲林縣,14,全齡,23.63948,120.4672,誰知盤中豬，片片皆辛苦。良作為通過經濟部評鑑觀光工廠；無私公開分享豬肉製品的生產線現場，毫無半點藏私之心，更設計流利的觀光動線，結合趣味手作活動，企劃貢丸製作課程，讓遊客們體驗自主生產出屬於自己的第一...,,,,,,,,,,
北港春生活園區,雲林縣,5,全齡,23.59137,120.2923,生命與土地是需要和諧共處共榮，透過了解過往先人的生活痕跡，尋找可能的未來。「北港春」秉持著「人才傳藝，據點維新」的精神，透過與捷克藝術家「海大海」合作，一步一腳印，胼手胝足打造園區每一方寸，等您用心來...,,,,,,,,,,
Gem Shop真金店,雲林縣,5,全齡,23.70876,120.4349,隱藏在雲林虎尾小鎮的美學新地標 一家老診所的歇業停滯，促成了一間老字號銀樓的轉型。 對於空間，我們很用心打造一個優雅的環境，對於產品更增加了設計感和多元性。 這半個年頭，在雲林虎尾這小鎮上，或許還有許...,,,,,,,,,,
炎卿木偶雕刻社,雲林縣,1,全齡,23.62989,120.5514,炎卿的起源：  炎卿木偶彫刻社成立於民國63年，由徐炎卿先生一手創立而成。   徐炎卿先生，民國40年7月出生於雲林縣古坑鄉，由於小時即喜歡在木頭上雕刻一些人物，日久後即無師自通的能將木頭雕出栩栩如生...,,,,,,,,,,
織雲館,雲林縣,18,全齡,23.73596,120.5455,織雲館位在斗六竹圍子工業區，為紡織產業綜合研究所的分支單位，以推廣台灣優質紡織品、深化紡織品設計與推動製造業服務化為目標。  取名織雲，有織就雲林的直接意義；織為現實的運作，理性的呈現，雲為夢想的引申...,,,,,,,,,,
北港工藝坊,雲林縣,1,全齡,23.56671,120.3035,百年藝鎮，巷弄藏文化！曾是稅務分局舊宿舍，現在是人稱百年藝鎮的北港鎮工藝產業中心。鄰近將酒甕砌築紅磚的甕牆，集結當地文史工作者和傳統工藝產業，輻射出北港市區處處驚喜的巷弄文化。...,,,,,,,,,,
北港-武德宮樂咖啡,雲林縣,6,全齡,23.58101,120.2991,"信仰。人文。樂咖啡  宗教是北港的印記，高聳的牌樓是北港的大門，信仰跟人文、傳統跟現代，在此交會  用最傳統的元素、堆砌出最時尚的人文咖啡館  Le Cafe' , 掛上雲嘉唯一的illy紅色招牌，代...",,,,,,,,,,
蔦松客棧,雲林縣,6,全齡,23.51591,120.231,水林鄉蔦松國中附近，有一間不起眼的小餐館  外表以竹子搭建裝飾，小小招牌寫著「蔦松客棧」  老闆黃文俊七年前從北部回鄉開店  便成為在地人口耳相傳的美食基地  充滿藝術細胞的黃文俊  把自家的三合院布...,,,,,,,,,,
幽情谷,雲林縣,11,全齡,23.58486,120.694,尋幽寄情，谷道輕旅行循清溪步道、水濂洞步道進入，全長約1.3公里。新整建的鋼構步道沿溪水而建，平行於急湍小瀑和特殊地質構造，直穿溪谷間，有壺穴及化石為伴，行程幽靜清涼。...,,,,,,,,,,
石壁村-木馬古道,雲林縣,11,全齡,23.63301,120.6209,位於雲林縣古坑鄉，是雲林境內海拔最高的山村  其中石壁木馬古道素來僅為少數遊客驚豔之處  古道沿線目前植被鬱閉而具有保護作用  故在開發時採以低度開發  發展小眾深度而特色旅遊方式，減緩對當地環境的衝...,,,,,,,,,,
北港「甕牆」,雲林縣,3,全齡,23.56671,120.3035,甕牆為開設土壟間（碾米廠）、油車（油廠）巨商顏東義第宅圍牆一部份  該第宅建於道光年間，於光緒三十一年大地震後修建第宅甕牆被留下一部份...,,,,,,,,,,
李萬居故居(李萬居精神啟蒙館),雲林縣,18,全齡,23.55075,120.1904,李萬居先生，號孟南，雲林縣口湖鄉梧北村人，生於1901年7月22日，幼時家境清寒，父親早逝，靠自修與苦學奠定其國學基礎，1924年在親友與村民資助下赴上海求學，1926年再赴法國留學，1932年取得巴...,,,,,,,,,,
奇香老沉(香茶藝術),雲林縣,18,全齡,23.71593,120.4429,奇香老沉承襲了香道千年文化，堅持使用天然原料加工製成  以天然素材，環保製法做出更淡雅細緻的現代香精品，致力將馨香傳遍每一個角落  商品種類繁多，包含了香材、藝品、佛珠、墜飾、各式香品  可供典藏、薰...,,,,,,,,,,
持法媽祖宮,雲林縣,4,全齡,23.73261,120.4653,持法媽祖廟    主前殿：湄州天上聖母　　後殿：關夫子（五文昌）    持法媽祖廟的建築物古色古香，環境清幽，藉由人文的元素，營造出靈性的空間，拋捨塵囂、浮華、賦予了淨化心靈的功能，無形中透露著一股靈...,,,,,,,,,,
北港故事館,雲林縣,12,全齡,23.58719,120.3044,北港故事館於101年3月23日隆重開幕，其創立宗旨在於弘揚媽祖博愛精神，傳承即將散失的在地文化遺產，匯集固有匠、藝師，灌注新活力，並與熱心人士共同協力，將源遠流長的地方特色，原貌原味的呈現，提供民俗史...,,,,,,,,,,
北港牛墟,雲林縣,18,全齡,23.56471,120.3,由於目前台灣進入工商社會機械化的耕耘機，運貨的鐵牛車，逐漸取代耕牛。牛的社會價值已大不如前，牛墟與牛販的重要性，也相對的減弱了。北港牛墟是台灣僅存的兩處牛墟之一，位於北港溪畔，北港大橋西側，陽曆每旬3...,,,,,,,,,,
汎歌保養品科技美學館,雲林縣,18,全齡,23.72232,120.5892,位於斗六工業區的汎歌保養品科技美學館，從創業初期即針對國人主要常見的皮膚問題深入研究，而研發生產可解決各個年齡層之肌膚問題的各種系列產品，震撼專業美容沙龍業界，專業美容師口中提到「汎歌」，就代表著「問...,,,,,,,,,,
青山坪咖啡農場,雲林縣,9,全齡,23.59547,120.6773,觀光休閒、露營、台灣高山咖啡、台灣人蔘、高山茶、農特產、餐點、冷熱飲、賞螢火蟲...,,,,,,,,,,
大同醬油黑金釀造館,雲林縣,14,全齡,23.71954,120.598,百年光陰，不只樹人。大同醬油創於西元1911年，以傳統的手工甕釀黑豆蔭油起家，更在國際市場上拿到了德國IF設計大賞與比利時風味評鑑獎，且同時得到ISO 22000與HACCP食品安全上的國際雙認證。大...,,,,,,,,,,
二崙新虎溪,雲林縣,18,全齡,23.80175,120.4594,新虎尾溪位於本鄉南邊，隔岸與虎尾鎮相對，中部科學園區虎尾園區及高鐵虎尾站，位於湳仔村隔岸之南面，日後對本鄉的發展有相當影響，水利會在湳仔村地段，施設橡膠壩調節水位，並引流至別線，用以灌溉附近農田，這裡...,,,,,,,,,,
二崙濁水夕照,雲林縣,18,全齡,23.8158,120.3943,本鄉北邊隔著濁水溪與彰化縣竹塘鄉相對，由於南岸河床高出平常水面，許多鄉民向河川局承租沙洲，用來種植農作，其中以出產優質西瓜聞名全台，在這裡要為大家介紹落日黃昏時，不妨來觀賞夕陽，看見金黃色的霞光映照在...,,,,,,,,,,
二崙運動公園,雲林縣,13,全齡,23.77395,120.4068,8尺農夫，守護綠地廣場！全縣最大的綠地廣場所在地，溜冰場、網球場、壘球場、森林浴場、休閒步道應有盡有。其中最受遊客青睞的是軍史公園內台糖小火車展示場及八公尺高「農夫的腳」造型藝術。...,,,,,,,,,,
孩沙里社區,雲林縣,18,全齡,23.78628,120.5133,位在雲林縣莿桐鄉濁水溪南畔的小小美麗農村社區-孩沙里，它美麗又有趣的地名總是成為遊客對它的第一印象，嘉南平原午后的溫馴冬陽讓大地的百花盛開，只見來自於台灣各地扶老攜幼的遊客們盡情徜徉於花海當中，老少喜...,,,,,,,,,,
鄭豐喜紀念圖書館,雲林縣,18,全齡,23.58463,120.1833,鄭豐喜紀念圖書館乃鄭豐喜先生在生前感於鄉村圖書設備缺乏，乃立志設立圖書館，後不幸因肝癌去世，壯志未酬。夫人吳繼釗女士為完成先生宿願，勞苦奔走，成立「鄭豐喜文教基金會」，並著手籌措建館經費。在各方協助下...,,,,,,,,,,
湖口溼地,雲林縣,11,全齡,23.53635,120.1691,位於雲林縣口湖鄉湖口村路段上的這片溼地草原生態區，原是台糖的農場，在七十五年受韋恩颱風侵襲之後，因海水倒灌，使得原本種植甘蔗的大片農場無法繼續耕作。在廢耕多年之後，經由歲月的洗滌，大地在惡劣的環境下，...,,,,,,,,,,
四湖三條崙海清宮包公祖廟,雲林縣,4,全齡,23.65713,120.1533,鐵面無私閻羅天子四湖三條崙海清宮主祀閻羅天子，即北宋朝龍圖閣大學士包拯先生，人稱包青天。民國82年動土擴建正殿時，禮聘大木作司傅劉鴻林施作，採傳統工法榫接，不用一釘，耗費萬金。...,,,,,,,,,,
糖業文物館,雲林縣,18,全齡,23.7035,120.4387,想要更深度了解虎尾糖業發展，那就要造訪位在糖廠內的糖業文物館。這個以糖業為主題的文物館，內設有展覽室與視聽室，收藏許多關於台灣糖廠的文獻、照片、治糖設備等，還有罕見的農業與生活器具，相當珍貴難得。...,,,,,,,,,,
塭底賞鳥區,雲林縣,11,全齡,23.54274,120.2236,塭底位於水林鄉北港溪畔，這一區因接近北港溪出海口，且河灘地腹地廣大，擁有豐富的魚蝦貝類等食物來源，因此非常適合水鳥棲息，在塭底濕地曾記錄到的鳥類，就有紅嘴鷗、裡海燕鷗、姥鷸、濱鷸、蒼鷺、尖尾鴨等數十種...,,,,,,,,,,
水林鄉蕃薯厝順天宮,雲林縣,4,全齡,23.54153,120.2238,全台唯一站身媽祖水林蕃薯厝順天宮主祀媽祖，人稱蕃薯寮媽，開基媽祖的神像採立姿，雙手作朝天式，台灣傳世稀有。每年農曆正月十五慶元宵，卜大龜、放天燈、射火馬，繞境三天三夜。...,,,,,,,,,,
七角井,雲林縣,18,全齡,23.57465,120.2431,距今已有380多年歷史，於顏思齊拓墾時前所建之七角井，其中包含車港村及水北村兩口井。明朝顏思齊時期由當地漢人祖先所建造的七角紅毛井，留存於水林鄉車港村內，之後又於水北村發現第二口七角紅毛井，第二口七角...,,,,,,,,,,
崙背欣昌錦鯉養殖場,雲林縣,18,全齡,23.78229,120.3489,崙背鄉欣昌錦鯉養殖場的佔地由原本的豬圈所改建，頗具規模，各種顏色、花樣的錦鯉魚分門別類，在不同的池子裡悠遊，像是遊動的璀璨寶石般，令人難以移開視線。養殖場裡頭的錦鯉魚還常常出國比賽，因此欣昌除了供應國...,,,,,,,,,,
二崙鄉廖文和布袋戲團,雲林縣,1,全齡,23.78471,120.4012,廖文和先生從小就開始玩布袋戲，由於戲偶作得比一般大，表演生動、精緻，加上故事編排精彩，一人可以變化二十多種人物的聲音，因此每次演出都吸引爆滿人潮，還受邀到國外參加售票公演，將台灣的傳統藝術帶入國際舞台...,,,,,,,,,,
綠色一線天自行車道,雲林縣,12,全齡,23.65715,120.1532,雲林濱海規劃了幾條自行車道，其中「箔子寮自行車道」（三條崙海水浴場箔子寮）、「臨海園自行車道」（金湖台子村）最能體驗到雲林海濱之美。另一條則沿著堤岸而行，映入眼簾皆是蚵田景致，也是觀日落賞景最佳去處。...,,,,,,,,,,
北港武德宮,雲林縣,4,全齡,23.58111,120.2992,從中藥行發跡的財神爺北港武德宮主祀天官武財神，為明代神話小説《封神演義》中的神話人物趙公明，手持鋼鞭，擁有定海珠、縛龍索兩件法寶。北港武財神信仰起源於大街上的中藥行保生堂，現在是文創咖啡潮店。...,,,,,,,,,,
雲科生態休閒農場,雲林縣,2,全齡,23.69805,120.5484,賞花採果摸泥鰍雲科生態休閒農場以種植柑橘類為主，秋冬可參與採果體驗，春夏則以賞花、控窯、童玩DIY為主要活動。在全雲林縣最大的泥鰍池中親子共遊，可以感受早年抓泥鰍的農村風情。...,,,,,,,,,,
湖山岩大佛寺／佛教藝術園區,雲林縣,4,全齡,23.70742,120.6078,占地廣闊的湖山岩大佛寺建於清朝雍正3年，供奉觀世音菩薩。寺廟莊嚴典雅，造型富麗堂皇。曾於1959年重建，新建寺宇為兩層宮殿式建築。   景點特色入寺需登階梯而上，兩旁種植各種綠色植物，伴隨在大佛寺內，...,,,,,,,,,,
日興被帳行,雲林縣,18,全齡,23.70777,120.5417,日興棉被店是家超過百年歷史三代經營的老店。老闆陳清秀從小就和父親學做手工棉被，每個細節都馬虎不得，從棉花原料，經過開棉、鋪棉、彈棉、壓篩、牽紗等繁複步驟，做好一件手工被，要花費至少3個小時。  陳清秀...,,,,,,,,,,
斗六棒球場,雲林縣,13,全齡,23.71664,120.5366,在2005年夏季開始啟用的斗六棒球場，外型呈現白頂圓弧的薄膜造型，營造出嶄新向前的意象，本壘後方的百頁鋁板加上冷光照明設備，又有冷峻迅速之美，加上漸變的造型線條，表現運動的速度與競爭之感。  景點特色...,,,,,,,,,,
張廖宗祠（崇遠堂）,雲林縣,18,全齡,23.77497,120.4293,原本建於下湳的張廖宗祠，在1928年才遷移至目前的位置，這是西螺當地張廖氏族的家祠，內供奉祖先牌位。...,,,,,,,,,,
振興宮,雲林縣,4,全齡,23.76995,120.4599,振興宮的外觀雖然看起來樸實不起眼，不過這裡可是祭祀七崁武術始祖—阿善師的牌位，振興宮旁的振興社，就是昔日阿善師開創的武館。從一開始的牌坊，一直到廟後的阿善師墓園，都可以看出西螺七崁與西螺發展的歷史淵源...,,,,,,,,,,
烏塗發電廠,雲林縣,18,全齡,23.77315,120.5988,已是百年古蹟的烏塗發電廠，正位於烏塗村濁水溪中游南岸溪畔，建造於西元1923年，是當初為了烏山頭水庫而興建的發電廠，電力可傳達100公里遠的距離。  烏塗發電廠內有3座保存完整的發電機組，至今仍然發電...,,,,,,,,,,
圓明禪寺,雲林縣,4,全齡,23.75582,120.6147,成立超過70多年的圓明禪寺，是經過14年的精雕細琢才逐漸完成，大殿及亭園造景兼具台灣及日本建築中樸實沉靜之美。  殿內佛像是以寶石精心捏塑而成，優美線條，呈現慈悲意涵。而寺內牆壁屋樑、窗戶線條與屋頂琉...,,,,,,,,,,
天聖宮,雲林縣,4,全齡,23.72329,120.6264,建廟50多年，供奉關聖帝君的「天聖宮」，不僅是村民的宗教信仰中心，寬闊清幽的廟埕，白天更成為當地居民休憩、閒話家常的場所，展現林內鄉宗教與庶民生活的文化象徵。    天聖宮建廟已有五十多年歷史，奉祀主...,,,,,,,,,,
林內公園,雲林縣,12,全齡,23.75391,120.6165,林內公園位於林內鄉公所對面，早期為「林內神社」又稱「日本神社」，建立於昭和十四年，至今已有六十幾年的歷史，至民國28年更名為林內公園，但還是保存著日本風格之兩座老牌樓，石製隱燈亭六座，昔日祭祀造化三神...,,,,,,,,,,
白馬山菩提講堂,雲林縣,4,全齡,23.73294,120.6103,全台灣最大的藏傳佛教寺院「白馬山菩提講堂」，建築融合了中國宮殿式的迴廊琉璃瓦、印度佛寺的鐘塔造型與西藏傳統佛寺三大風格。  白馬山菩提講堂的外觀講究，內部也有豐富的彩繪和器物收藏，相當雄偉壯觀，莊嚴肅...,,,,,,,,,,
石敢當,雲林縣,18,全齡,23.75942,120.4902,位於甘厝村裡的石敢當是先民為保佑地方而立，距今已有三百多年的歷史，現在的模樣則是八十年前地方人士再整修而成，每年端午時謝神總會演戲祭拜。  石敢當旁有一棵倒栽榕，樹形壯闊，枝葉茂盛，端午時也與石敢當一...,,,,,,,,,,
孩沙里福天宮,雲林縣,18,全齡,23.76975,120.5049,季節花海擁簇的女神莿桐孩沙里福天宮原名進興宮，主祀徐府千歲及天上聖母三媽（俗稱孩沙里媽），建廟於清代中葉，昭和年間由保正陳懷發發起募金，在原地改建成磚瓦木造結構，民國43年、52年曾重修建廟宇。...,,,,,,,,,,
樹仔腳天主堂,雲林縣,4,全齡,23.77951,120.5196,雲林第一座天主堂樹仔腳天主堂位於濁水溪南畔，光緒年間樹仔腳聚落的信徒邀請羅厝天主堂高希龍神父至此傳道，租用簡單竹屋舍作為臨時佈道所，為創堂之始，也是雲林縣天主教傳播的濫觴。...,,,,,,,,,,
風力發電,雲林縣,18,全齡,23.79844,120.2176,四部由丹麥進口風力發電機，聳立在北堤濁水溪出海口，高度45公尺，葉片直徑47公尺，迎風發出呼呼聲響，雖然經濟效益不高，卻是目前政府大力提倡的綠色能源宣傳之標的。  本處吸引桃園、苗栗、新竹、屏東等有意...,,,,,,,,,,
蕃薯窯文化創意園區,雲林縣,5,全齡,23.77131,120.2909,在雲林麥寮的旅遊好地方 蕃薯窯展示館結合廟宇傳統建築藝術，設有石雕主題館、交趾陶主題館、檜木主題館館、樟木主題館，並可觀賞到傳統藝術家現場製作交趾陶創作，藝術工坊的整體規劃，透過精緻的藝術品與展覽介紹...,,,,,,,,,,
同心家園,雲林縣,12,全齡,23.70377,120.436,虎尾糖業的歷史見證者位於雲林虎尾的同心家園，現有台糖11號蒸汽火車頭、引種南非310蔗種紀念碑及製糖工具可供民眾來訪參觀。內部樹木多為台灣早期樟木及南洋移植的熱帶植物，宛若紀錄著虎尾糖業的歷史興衰，也...,,,,,,,,,,
坪頂觀光茶園(茶葉推廣中心),雲林縣,6,全齡,23.75094,120.6369,坪頂茶園位在武探嶺森林帶以上的緩坡地，由於土壤肥沃、土質良好，是個相當適合種植茶樹的地方。  以凍頂烏龍茶、金萱茶為主，廣受歡迎，因為這些茶葉而創造了坪頂村的經濟奇蹟。...,,,,,,,,,,
湖本生態村,雲林縣,11,全齡,23.72642,120.6213,地形多為丘陵地的湖本鄉，正位在林內鄉的南方，村內的生態環境相當良好，每年夏天更有國際保育類鳥種的候鳥─八色鳥前來棲息，冬季11月左右又飛離台灣，因此又被稱為「八色鳥的故鄉」。    在湖本村內更能見到...,,,,,,,,,,
西螺廣福宮,雲林縣,4,全齡,23.79754,120.4645,螺陽福神老大媽西螺廣福宮主祀媽祖，俗稱新街老大媽，信仰圈涵蓋雲林、彰化一百二十個村莊聚落，日治昭和年間所重建大廟，重金禮聘王伙艾、陳天乞、郭新林、蔣錦秀、廖伍等一流名家施作，已成雲林縣定古蹟。...,,,,,,,,,,
福興宮,雲林縣,4,全齡,23.80143,120.4605,螺陽太平媽，相伴老街風華西螺福興宮主祀媽祖，俗稱舊街太平媽，在延平路上佔了地利，看盡老街的繁華起落。廟內懸掛的好義從風匾額，見證了道光年間張丙事件，西螺、二崙、崙背三鄉先民助清平亂的故事。...,,,,,,,,,,
振文書院(文祠廟),雲林縣,1,全齡,23.79439,120.4644,最後的四大書院1797年所建，前身為文昌帝君祠，曾經有許多文人雅士在此進行詩社聚會，充滿人文氣息，是雲林四大書院碩果僅存的一間。樑上從嘉慶時期保存迄今的匾額堪稱國寶。...,,,,,,,,,,
西螺戲院,雲林縣,18,全齡,23.80176,120.4632,西螺戲院興建於西元1940年，為當時西螺旺族林廣合家族所合資興建，在地方上相當著名，與附近商家形成繁華商場，有西螺西門町之稱 ，目前已列為歷史建築，優美的建築依然保存完好至今。    西螺戲院建築空間...,,,,,,,,,,
七崁雕塑公園,雲林縣,18,全齡,23.77041,120.4599,武術發源地，見證七崁地方史台灣開發初期，西螺當地為保護家園，以村落為單位劃分為七崁。當地習武風氣盛行，1996年建立的雕塑公園將七種武術招式立為雕塑，作為地方歷史的紀錄。...,,,,,,,,,,
三條崙漁港,雲林縣,18,全齡,23.65961,120.1535,三條崙漁港有一條棧橋，長約500公尺，船隻及膠筏停泊於棧橋南側，專供吊蚵及近海捕撈魚蝦之用，棧橋上除漁民出入外，尚有大批釣客到此垂釣。...,,,,,,,,,,
台西海螺,雲林縣,2,全齡,23.71746,120.1993,台西地標：台西海螺位於台灣西部海岸中央的台西海園，是台灣海埔新生地之所在，也是本省文蛤、牡蠣等海鮮的最大生產和集散地之一。...,,,,,,,,,,
